,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
847,316773DA5,126408HH9,00507VAM1,00507VAM1,58013MFB5,816851BG3,526057CV4,842400GJ6,402479CF4,534187BH1,494368BR3,375558BM4,855244AV1,053332AV4,863667AQ4,842400GJ6,202795JK7,907818FJ2,03939CAA1,29364WAW8,126650CX6,00108WAH3,74267CAC0,025932AK0,526057CV4,402479CF4,00724PAC3,907818FJ2,06406RAD9,06406RAD9
848,21036PAS7,573284AQ9,96949LAD7,049560AN5,125523CB4,124857AT0,052769AE6,855244AP4,655844BT4,842400GJ6,26442UAA2,58013MFB5,09247XAN1,337738BB3,316773CV0,126408HJ5,25389JAR7,594918BY9,91324PCW0,879360AD7,68389XCD5,91324PDK5,74164MAA6,071813BQ1,828807DC8,655844BT4,907818FJ2,594918BY9,22160KAM7,22160KAM7
849,458140AX8,037735CW5,816851BA6,26138EAX7,30219GAN8,20030NCA7,816851BA6,534187BH1,053332AV4,036752AG8,20030NBN0,125523CB4,29736RAJ9,902494BC6,693506BP1,49456BAP6,26441CAX3,037833CJ7,743315AR4,37045XDH6,04621XAJ7,98389BAV2,74460DAB5,369550AX6,12189LBA8,053332AV4,594918BY9,037833CJ7,693475AT2,693475AT2
850,037833CR9,59523UAN7,828807DC8,816851BA6,375558BM4,31428XBP0,96949LAD7,718172CE7,126408HH9,126408HJ5,907818ED6,701094AJ3,444859BF8,278642AU7,134429BG3,534187BH1,756109BG8,370334BZ6,11134LAH2,79466LAF1,58013MFF6,744448CP4,74348TAJ1,427866AX6,14149YBJ6,126408HH9,037833CJ7,370334BZ6,747525AU7,747525AU7
851,14040HCE3,824348AW6,14149YBJ6,57772KAD3,701094AJ3,21036PAY4,906548CM2,863667AQ4,573284AQ9,855244AP4,855244AQ2,30219GAN8,883203BX8,075887BW8,862121AA8,718172CE7,579780AN7,29379VBL6,26444HAC5,64110LAS5,29364WAW8,12572QAJ4,718546AC8,126650DF4,816851BA6,573284AQ9,370334BZ6,29379VBL6,191216CE8,191216CE8
852,67021CAM9,053332AV4,26138EAX7,14149YBJ6,833034AK7,57636QAJ3,12189LBA8,316773CV0,59523UAN7,49456BAP6,857477AT0,808513AQ8,207597EJ0,25468PDV5,741503BC9,863667AQ4,443510AH5,14448CAP9,20030NBW0,084659AM3,879360AD7,502431AM1,718546AU8,06406FAE3,96949LAD7,59523UAN7,29379VBL6,14448CAP9,655844BT4,402479CF4
853,74456QBS4,655844BT4,052769AE6,828807DC8,808513AQ8,036752AG8,828807DC8,741503BC9,824348AW6,26884ABJ1,12189LAY7,478160CE2,92343VDY7,526057CV4,893574AK9,316773CV0,718172CB3,031162CT5,015271AJ8,12541WAA8,37045XDH6,59523UAP2,718549AG3,031162CJ7,00507VAM1,824348AW6,14448CAP9,031162CT5,59523UAN7,126408HH9
854,05348EBA6,337738BB3,57772KAD3,40434LAB1,478160CE2,842400GJ6,14149YBJ6,862121AA8,337738BB3,718172CE7,828807CV7,14040HBN4,713448ER5,049560AN5,808513BP9,693506BP1,37045XDA1,58013MFB5,124857AR4,370334CG7,79466LAF1,28176EAD0,718592AB4,26441CAS4,57772KAD3,337738BB3,031162CT5,58013MFB5,053332AV4,655844BT4
855,50077LBC9,902494BC6,12189LBA8,037833CX6,14040HBN4,26884ABJ1,57772KAD3,893574AK9,902494BC6,863667AQ4,24422ETC3,855244AV1,92343VFF6,12189LBA8,92343VGH1,862121AA8,928563AC9,125523CB4,756109AS3,91159HHS2,084659AM3,413875AW5,70450YAB9,90265EAL4,049560AN5,902494BC6,58013MFB5,125523CB4,824348AW6,037735CW5
856,532457BP2,278642AU7,049560AN5,64110DAJ3,855244AV1,855244AP4,00507VAM1,134429BG3,278642AU7,316773CV0,235851AQ5,09247XAN1,742718FG9,828807DC8,126650CX6,893574AK9,023135BC9,30219GAN8,37045XBT2,06406RAH0,12541WAA8,04010LBB8,70450YAC7,29364GAJ2,052769AE6,278642AU7,125523CB4,30219GAN8,573284AQ9,59523UAN7
