,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
40434LAC9,15.0,15.0,250.0,2.0,250.0,15.0,250.0,250,250,2.0,5.0,2.0,5.0,250.0,15.0,2,250.0,15,2.0,250.0,15.0,15,2,10.0,2.0,250.0,2.0,15.0,5.0,15.0
081437AT2,15.0,2.0,250.0,15.0,15.0,2.0,250.0,2,250,15.0,15.0,15.0,15.0,15.0,15.0,2,2.0,15,15.0,15.0,15.0,15,15,15.0,15.0,250.0,2.0,15.0,5.0,15.0
64110DAK0,15.0,15.0,5.0,15.0,2.0,2.0,250.0,250,250,10.0,15.0,5.0,250.0,15.0,250.0,15,5.0,15,15.0,15.0,15.0,250,10,10.0,250.0,250.0,250.0,15.0,5.0,5.0
74834LBB5,15.0,5.0,10.0,5.0,15.0,10.0,5.0,2,15,15.0,15.0,2.0,15.0,15.0,2.0,2,15.0,15,15.0,15.0,15.0,15,15,15.0,15.0,15.0,15.0,15.0,15.0,15.0
776743AJ5,15.0,15.0,2.0,15.0,15.0,5.0,5.0,15,2,2.0,15.0,2.0,15.0,15.0,5.0,250,15.0,15,2.0,2.0,2.0,15,2,15.0,15.0,2.0,5.0,15.0,5.0,10.0
58013MFQ2,15.0,15.0,1.0,15.0,1.0,5.0,15.0,15,1,10.0,5.0,5.0,15.0,1.0,15.0,15,15.0,1,1.0,1.0,1.0,15,1,15.0,1.0,1.0,15.0,1.0,5.0,1.0
00108WAM2,15.0,15.0,250.0,10.0,15.0,2.0,250.0,250,250,15.0,15.0,2.0,15.0,15.0,15.0,2,250.0,15,15.0,15.0,15.0,15,15,15.0,15.0,250.0,15.0,15.0,15.0,15.0
263534CP2,10.0,10.0,5.0,15.0,15.0,15.0,2.0,15,15,250.0,15.0,15.0,15.0,15.0,15.0,15,15.0,15,15.0,15.0,15.0,15,15,15.0,15.0,15.0,5.0,15.0,15.0,15.0
828807DK0,15.0,15.0,2.0,2.0,2.0,2.0,15.0,15,2,10.0,15.0,2.0,2.0,5.0,2.0,2,5.0,2,2.0,2.0,2.0,15,10,15.0,2.0,2.0,2.0,2.0,5.0,15.0
084659AV3,15.0,15.0,250.0,250.0,10.0,15.0,250.0,15,250,250.0,250.0,250.0,15.0,15.0,15.0,15,250.0,15,15.0,2.0,15.0,250,250,250.0,2.0,250.0,15.0,15.0,250.0,250.0
759509AG7,5.0,15.0,5.0,250.0,5.0,10.0,5.0,2,250,5.0,5.0,250.0,2.0,15.0,2.0,2,5.0,5,5.0,15.0,5.0,250,15,5.0,250.0,250.0,5.0,5.0,250.0,15.0
37959EAA0,10.0,20.0,20.0,20.0,20.0,2.0,5.0,20,20,20.0,20.0,20.0,20.0,20.0,20.0,20,5.0,10,20.0,20.0,20.0,20,20,20.0,20.0,20.0,2.0,10.0,10.0,10.0
87612EBK1,10.0,10.0,10.0,10.0,2.0,2.0,20.0,10,5,5.0,2.0,10.0,2.0,10.0,4.0,2,10.0,2,10.0,5.0,2.0,5,5,10.0,10.0,5.0,10.0,2.0,10.0,10.0
574599BP0,5.0,5.0,2.0,2.0,10.0,2.0,2.0,5,5,5.0,10.0,5.0,5.0,2.0,5.0,10,5.0,5,5.0,2.0,5.0,2,20,20.0,5.0,5.0,10.0,5.0,5.0,2.0
651639AY2,15.0,15.0,5.0,250.0,2.0,250.0,250.0,15,10,250.0,15.0,250.0,15.0,15.0,15.0,15,250.0,250,15.0,250.0,15.0,10,250,7.0,250.0,10.0,15.0,250.0,250.0,250.0
50249AAG8,15.0,15.0,2.0,2.0,20.0,20.0,5.0,20,5,15.0,5.0,5.0,5.0,15.0,5.0,2,2.0,2,5.0,15.0,5.0,2,15,10.0,2.0,5.0,20.0,2.0,2.0,2.0
49446RAW9,15.0,2.0,2.0,15.0,15.0,15.0,250.0,5,250,20.0,15.0,15.0,10.0,10.0,15.0,15,2.0,15,15.0,2.0,15.0,15,15,15.0,15.0,250.0,15.0,15.0,2.0,250.0
260543DC4,15.0,15.0,250.0,250.0,5.0,10.0,5.0,10,250,20.0,15.0,15.0,10.0,250.0,5.0,15,250.0,20,5.0,15.0,5.0,15,15,15.0,10.0,250.0,15.0,20.0,250.0,2.0
571748BN1,15.0,15.0,2.0,5.0,15.0,15.0,15.0,15,2,250.0,15.0,2.0,5.0,15.0,15.0,10,5.0,15,2.0,2.0,15.0,2,2,10.0,2.0,2.0,15.0,15.0,5.0,5.0
855244AZ2,15.0,15.0,2.0,10.0,2.0,2.0,15.0,10,15,250.0,15.0,250.0,10.0,15.0,2.0,15,15.0,250,250.0,250.0,2.0,15,250,2.0,15.0,15.0,10.0,250.0,15.0,15.0
969457BX7,5.0,15.0,2.0,10.0,2.0,5.0,2.0,10,15,2.0,15.0,2.0,5.0,250.0,15.0,10,15.0,15,2.0,2.0,5.0,10,2,15.0,2.0,15.0,15.0,15.0,5.0,250.0
48203RAP9,2.0,5.0,10.0,10.0,2.0,5.0,2.0,5,2,2.0,20.0,5.0,5.0,5.0,5.0,5,5.0,5,5.0,10.0,5.0,5,10,20.0,5.0,2.0,5.0,5.0,2.0,10.0
