,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28,week 29,week 30
654106AK9,300.0,250.0,100.0,100.0,250.0,4.0,100.0,300,125,300.0,250.0,250.0,4.0,125.0,350.0,235,250.0,250,350.0,250.0,350.0,350,250,350.0,350.0,125.0,250.0,250.0,100.0,250.0
001055BJ0,75.0,150.0,250.0,150.0,250.0,250.0,200.0,200,175,150.0,75.0,150.0,250.0,200.0,250.0,250,200.0,250,150.0,150.0,250.0,75,200,150.0,150.0,175.0,250.0,250.0,150.0,150.0
67066GAF1,350.0,200.0,1000.0,250.0,100.0,300.0,200.0,300,250,250.0,300.0,250.0,300.0,200.0,250.0,3,1000.0,350,300.0,350.0,350.0,100,200,250.0,250.0,250.0,250.0,350.0,300.0,250.0
20030NDG3,250.0,200.0,250.0,1000.0,250.0,58.0,10.0,250,10,250.0,25.0,250.0,250.0,250.0,100.0,250,150.0,82,350.0,2.0,350.0,500,2,75.0,1000.0,10.0,250.0,82.0,50.0,250.0
68389XBV6,250.0,200.0,750.0,250.0,250.0,300.0,5.0,350,250,250.0,150.0,250.0,250.0,200.0,250.0,350,250.0,300,350.0,250.0,300.0,250,250,18.0,17.0,250.0,250.0,300.0,350.0,250.0
126650DJ6,15.0,250.0,250.0,250.0,772.0,250.0,222.0,250,250,250.0,300.0,250.0,100.0,32.0,250.0,4,250.0,350,250.0,300.0,250.0,250,300,897.0,250.0,250.0,250.0,350.0,699.0,761.0
717081EW9,300.0,250.0,250.0,250.0,250.0,250.0,250.0,200,100,250.0,200.0,250.0,235.0,250.0,250.0,100,200.0,250,300.0,250.0,250.0,200,250,300.0,250.0,100.0,300.0,250.0,100.0,300.0
209111FX6,150.0,200.0,200.0,150.0,250.0,200.0,100.0,250,217,100.0,100.0,100.0,250.0,200.0,100.0,250,150.0,200,150.0,250.0,200.0,150,4,250.0,100.0,217.0,250.0,200.0,100.0,250.0
369550BM9,250.0,150.0,250.0,150.0,100.0,100.0,250.0,500,250,10.0,250.0,10.0,250.0,200.0,500.0,150,150.0,10,10.0,10.0,150.0,250,10,150.0,250.0,250.0,100.0,10.0,100.0,250.0
256677AG0,200.0,150.0,35.0,250.0,250.0,150.0,250.0,150,250,4875.0,380.0,56.0,36.0,250.0,250.0,200,150.0,200,150.0,1000.0,250.0,250,250,250.0,150.0,250.0,250.0,200.0,150.0,250.0
35137LAL9,200.0,250.0,100.0,150.0,150.0,250.0,200.0,150,250,69.0,150.0,150.0,250.0,250.0,150.0,250,250.0,150,200.0,200.0,200.0,150,19,150.0,150.0,250.0,250.0,150.0,50.0,250.0
149123CH2,250.0,100.0,1000.0,250.0,150.0,250.0,150.0,200,250,250.0,150.0,150.0,200.0,250.0,150.0,200,500.0,200,200.0,1000.0,200.0,150,100,150.0,250.0,250.0,250.0,200.0,200.0,200.0
609207AT2,2.0,200.0,250.0,250.0,250.0,250.0,250.0,300,250,250.0,8.0,250.0,250.0,200.0,300.0,250,250.0,4,250.0,250.0,5.0,200,32,250.0,250.0,250.0,250.0,4.0,100.0,200.0
92826CAM4,200.0,250.0,250.0,105.0,50.0,50.0,200.0,250,90,50.0,50.0,250.0,250.0,350.0,350.0,50,350.0,250,250.0,250.0,250.0,250,250,350.0,125.0,90.0,79.0,250.0,50.0,50.0
579780AQ0,150.0,200.0,100.0,200.0,250.0,50.0,100.0,150,200,100.0,150.0,100.0,100.0,150.0,200.0,50,200.0,200,100.0,200.0,100.0,200,200,200.0,150.0,200.0,150.0,200.0,100.0,250.0
74340XBM2,250.0,150.0,560.0,150.0,250.0,50.0,560.0,150,200,250.0,250.0,150.0,200.0,250.0,250.0,3,560.0,250,250.0,200.0,200.0,200,123,250.0,100.0,200.0,200.0,250.0,250.0,250.0
244199BJ3,388.0,200.0,250.0,250.0,4.0,2138.0,150.0,200,250,295.0,150.0,250.0,2538.0,200.0,250.0,150,250.0,250,100.0,250.0,150.0,150,250,4.0,250.0,250.0,250.0,250.0,200.0,100.0
